,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
241017,150846.0,-2.29906196334166,0.373365448541186,-1.45685789116718,-0.5351243169623,0.981582516519328,-2.04102746273994,-0.157900817326557,0.724361048962398,0.713805851821585,-2.19766935073067,-0.873854586355296,0.2295890923369,-0.405454963094141,-1.67811850069676,-0.385044681221863,-0.0050050221835342,2.03526291138058,0.949113090552063,-0.231894047299094,0.0099461063181597,0.120486753493537,0.356461918526977,-0.642591595385952,-0.215719288466207,0.123423027325375,-0.625428547334477,0.473114994675499,-0.0679652722425807,1.44,0
44801,42087.0,-0.334428038069361,0.651325592979403,1.19900843713828,-0.0151688899548108,-0.723911444517753,-0.121293518695297,-0.510876368079811,0.667661809635259,0.34206647290572,-0.596383427651934,-1.78837044730756,-1.20060716444315,-1.5539428931123,0.429393841378473,1.36991541303122,1.08195410890039,-0.656306254357084,0.858012742026469,-0.0654605109930514,-0.268049635274114,0.138474158299918,0.198387535577184,-0.0215311998046948,-0.490065918742424,-0.537406392542139,0.303279885396915,-0.0758345751499803,-0.0240910899488043,7.05,0
233957,147769.0,1.59861146410777,-0.953058873810134,0.529686418640039,1.5175768905933,-1.02291008383885,1.19448747033286,-1.23480291760371,0.466857923513368,1.57376672116724,0.0283325717557154,0.367242106304785,1.74080458378295,0.834553162450677,-0.847434837258754,-1.25991435696732,0.318866291961877,-0.647780636508248,0.719496563405342,-0.276265865279168,0.065068202197362,0.309752949001086,1.02639552476565,0.0735860662230206,0.739999348768671,-0.249188980054049,-0.587681344730268,0.0965799048222199,0.0019008225822586,124.77,0
208706,137237.0,-0.923551665249756,0.892963052436884,1.91414122452585,0.661802126446551,0.151593473345639,0.612124029643275,-0.170581457545733,-0.457963584010072,-0.33370382933083,-0.171849769977116,0.222231177555836,-0.266784253487438,-1.13009675706739,0.410745300761419,0.666929858321045,0.299487927634802,-0.576759511117216,1.32950044370091,0.748218708610847,-0.20991217974487,1.00166629014163,0.452413526080309,-0.43762462667684,-0.504033384158159,0.545307388072064,-0.234929730244963,0.170024800303556,0.0615594193731495,10.0,0
162387,115065.0,-3.58309719276016,-4.25868814445138,2.27463328319458,-1.53648332690782,1.14162991237882,1.37938969031485,-1.13497126259065,1.15280322577862,1.99665685021584,-2.20486425398723,-0.305635111862108,0.950343689392499,-0.927635321430006,-0.958409054330349,-1.8433931952905,-0.476152261498599,0.19847073068331,-0.378191935453368,-1.09701724677563,1.28847191003385,0.60649491929429,0.693943452762011,0.984891578499812,-1.60903379213164,0.675208296440458,0.836667709180859,-0.168751512793193,0.103030493282164,424.76,0
25761,33758.0,-1.98804588050947,-2.217815758959,1.25816558389084,-3.59683917750799,1.16222288782918,-0.780223123723429,-0.553540377722608,0.265646361819776,0.33049452935288,-1.40592420699335,-2.05619183771694,-0.458394640361891,-0.308581658312051,-0.242019113831008,0.28086025981256,-1.50441784118613,-0.467953387593739,1.36464709640723,-1.24387710903667,0.0352958256054009,-0.21551350349674,-0.733873056418824,0.116449741427962,-1.37261313024045,0.784800077496634,-0.124372316729835,-0.0517976107123545,0.0748922064599242,124.0,0
53214,45866.0,1.16490463493339,-0.151595356367629,0.496110923436192,0.778516308042094,-0.0015048619793644,1.06710984643063,-0.564941558511489,0.243286028294527,0.460673545669182,-0.0186988291678012,-0.349829866492814,1.08294401978995,1.46197941200851,-0.382966453708081,-0.0726757811165599,0.894510697452649,-1.34954174321747,1.13703995097941,0.487733322504575,0.0979799724776902,0.102546275215399,0.404539968259887,-0.369544850091483,-1.33536648598587,0.735778788670193,-0.177437213408157,0.0622975040676988,0.0183396186307184,49.85,0
276313,167011.0,2.03865810506417,-0.338323311411152,-0.675275284613151,0.230580426627847,-0.0811531629254142,0.259854256692394,-0.580364202958691,0.0031964451692298,1.3057145930902,-0.211109147123323,-1.44737715461727,0.908017948022326,1.60404751528085,-0.523767061382639,0.42620835473389,0.255975199084129,-0.870301644374185,0.312311131167812,0.0513195851175378,-0.0811310151184175,0.154329875214171,0.733364143829448,0.0463725325378883,0.092621096456722,0.0669653728164414,-0.207432780525262,0.0445329977901499,-0.033921052401172,9.99,0
265092,161736.0,2.09966244304881,0.104900306361052,-2.13769904758343,0.0468463284509581,0.522006042002174,-1.73119512402411,0.883656286117025,-0.652647098806267,0.125783558228449,-0.0046701193947222,-0.65809731744585,0.510269603758935,0.489426565778917,0.700005265627337,0.322763024373185,-0.626962073101678,-0.335473057597092,-0.566748792196296,0.148588444693593,-0.158691152004397,0.158573206878453,0.585864454345539,-0.0866986235461696,-0.0343594763215377,0.469153490130921,0.243213712575898,-0.0867436060427527,-0.0751456952746465,26.2,0
156502,108252.0,-0.267147652951663,0.937020694160525,0.127393174948937,-0.3044878798303,1.03443371976596,-0.460344595633924,0.860050325478363,-0.101350213423152,1.0227996703124,-1.44933942929951,1.3495820081352,-2.38810620362164,0.844760420854864,0.455160122947457,-2.29869754052082,0.0509187205017526,1.27586609342544,1.00124426848636,-0.0049056836017761,-0.15711449168887,0.0476624181828479,0.564237419984923,-0.375025564758228,-0.482078751985178,-0.125704978160532,0.627855441533695,0.0827849088914584,0.161865136456705,11.5,0
